City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
333,salalah,17.0151,54.0924,299.2,94,100,4.12,OM,1689700449
334,trstenik,43.6169,21.0025,305.38,61,0,1.65,RS,1689700449
335,betio village,1.358,172.9211,300.17,71,98,0.68,KI,1689700449
336,rio rico,31.4715,-110.9765,309.44,34,0,2.57,US,1689700451
337,westport,41.1415,-73.3579,304.12,73,20,4.63,US,1689700451
338,vorkuta,67.5,64.0,290.87,80,65,1.89,RU,1689700451
339,chivhu,-19.0211,30.8922,284.76,37,23,3.46,ZW,1689700452
340,mendaha,-1.0333,103.5833,297.16,91,95,1.49,ID,1689700452
341,fairbanks,64.8378,-147.7164,290.13,85,100,1.54,US,1689700452
342,vernon,50.2581,-119.2691,295.54,49,0,2.24,CA,1689700453
343,the dalles,45.5946,-121.1787,298.92,52,0,2.57,US,1689700453
344,tianpeng,30.9866,103.9393,299.41,81,37,1.58,CN,1689700453
345,lubango,-14.9172,13.4925,289.57,20,0,3.17,AO,1689700454
346,eldorado at santa fe,35.5264,-105.9347,306.48,16,0,2.68,US,1689700454
347,bovril,-31.3431,-59.4451,284.77,43,27,3.22,AR,1689700454
348,yarmouth,41.7057,-70.2286,301.82,84,100,3.09,US,1689700455
349,sai kung,22.3822,114.2728,302.14,92,100,3.25,CN,1689700455
350,chernyshevsk,52.5243,117.0174,290.54,97,100,0.68,RU,1689700455
351,sitka,57.0531,-135.33,288.09,88,75,2.06,US,1689700455
352,asahi,35.7167,140.65,297.36,81,100,0.83,JP,1689700456
353,tarko-sale,64.9225,77.785,290.94,56,78,2.96,RU,1689700456
354,kimbe,-5.5502,150.1429,296.35,87,28,2.39,PG,1689700456
355,kidal,18.4411,1.4078,314.86,13,18,4.35,ML,1689700457
356,saldanha,-33.0117,17.9442,286.52,79,47,6.66,ZA,1689700457
357,langon,44.5,-0.3333,303.5,40,62,5.17,FR,1689700457
358,bechar,31.6167,-2.2167,313.33,7,0,2.06,DZ,1689700457
359,enewetak,11.3474,162.3373,301.49,79,55,5.82,MH,1689700458
360,briviesca,42.5499,-3.3232,306.23,32,79,4.18,ES,1689700458
361,abashiri,44.0213,144.2697,287.41,93,87,0.73,JP,1689700458
